,id,task,messages,detail,input,output_format,metric
0,d229f9f6-0c23-4384-83b2-a950558a6bb9,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/d229f9f6-0c23-4384-83b2-a950558a6bb9/ref.png', 'test': './data/private_set/d229f9f6-0c23-4384-83b2-a950558a6bb9/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
1,60ee7335-e384-43c0-9585-87d585417931,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/60ee7335-e384-43c0-9585-87d585417931/ref.png', 'test': './data/private_set/60ee7335-e384-43c0-9585-87d585417931/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
2,89d14150-0e21-41ba-80ac-4544c5fe12c3,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/89d14150-0e21-41ba-80ac-4544c5fe12c3/ref.png', 'test': './data/private_set/89d14150-0e21-41ba-80ac-4544c5fe12c3/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
3,3787aad0-1a0d-44e9-a6f6-0f4d3abf3768,rotation,Adjust the orientation of the refence image using the test image. Display where the difference. Supply the end result as a PIL.Image object,Detect SIFT features in both the reference and test images. Match features using a Brute Force matcher. Estimate the rotation angle and translation using RANSAC. Rotate the reference image using the estimated homography matrix. Remove the noise of rotated referece image and test image. Calculate the residual using gray images and set 30 pixel border of residual to 0. Display where the outlier of residual in binary mask and remove small objects. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/3787aad0-1a0d-44e9-a6f6-0f4d3abf3768/ref.png', 'test': './data/private_set/3787aad0-1a0d-44e9-a6f6-0f4d3abf3768/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
4,1e4b3b9a-6ff9-46fb-8e24-1d027096a4bc,rotation,Adjust the orientation of the refence image using the test image. Display where the difference. Supply the end result as a PIL.Image object,Detect SIFT features in both the reference and test images. Match features using a Brute Force matcher. Estimate the rotation angle and translation using RANSAC. Rotate the reference image using the estimated homography matrix. Remove the noise of rotated referece image and test image. Calculate the residual using gray images and set 30 pixel border of residual to 0. Display where the outlier of residual in binary mask and remove small objects. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/1e4b3b9a-6ff9-46fb-8e24-1d027096a4bc/ref.png', 'test': './data/private_set/1e4b3b9a-6ff9-46fb-8e24-1d027096a4bc/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
5,f5cc0c79-cc35-48e0-a6ca-ae89efe48262,rotation,Adjust the orientation of the refence image using the test image. Display where the difference. Supply the end result as a PIL.Image object,Detect SIFT features in both the reference and test images. Match features using a Brute Force matcher. Estimate the rotation angle and translation using RANSAC. Rotate the reference image using the estimated homography matrix. Remove the noise of rotated referece image and test image. Calculate the residual using gray images and set 30 pixel border of residual to 0. Display where the outlier of residual in binary mask and remove small objects. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/f5cc0c79-cc35-48e0-a6ca-ae89efe48262/ref.png', 'test': './data/private_set/f5cc0c79-cc35-48e0-a6ca-ae89efe48262/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
6,50dbc1b1-c8f3-4e16-b82d-f0e70fe5546a,alignment_rotation,Adjust the orientation of the refence image using the test image. Display where the difference. Supply the end result as a PIL.Image object,Detect SIFT features in both the reference and test images. Match features using a Brute Force matcher. Estimate the rotation angle and translation using RANSAC. Rotate the reference image using the estimated homography matrix. Remove the noise of rotated referece image and test image. Calculate the residual using gray images and set 30 pixel border of residual to 0. Display where the outlier of residual in binary mask and remove small objects. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/50dbc1b1-c8f3-4e16-b82d-f0e70fe5546a/ref.png', 'test': './data/private_set/50dbc1b1-c8f3-4e16-b82d-f0e70fe5546a/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
7,b1624219-ba9b-4522-8082-cb1ad87ccbcf,alignment_rotation,Adjust the orientation of the refence image using the test image. Display where the difference. Supply the end result as a PIL.Image object,Detect SIFT features in both the reference and test images. Match features using a Brute Force matcher. Estimate the rotation angle and translation using RANSAC. Rotate the reference image using the estimated homography matrix. Remove the noise of rotated referece image and test image. Calculate the residual using gray images and set 30 pixel border of residual to 0. Display where the outlier of residual in binary mask and remove small objects. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/b1624219-ba9b-4522-8082-cb1ad87ccbcf/ref.png', 'test': './data/private_set/b1624219-ba9b-4522-8082-cb1ad87ccbcf/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
8,af6240fb-9964-4c1a-a3c8-538ddc75bc75,alignment_rotation,Adjust the orientation of the refence image using the test image. Display where the difference. Supply the end result as a PIL.Image object,Detect SIFT features in both the reference and test images. Match features using a Brute Force matcher. Estimate the rotation angle and translation using RANSAC. Rotate the reference image using the estimated homography matrix. Remove the noise of rotated referece image and test image. Calculate the residual using gray images and set 30 pixel border of residual to 0. Display where the outlier of residual in binary mask and remove small objects. Supply the end result as a PIL.Image object,"{'ref': './data/private_set/af6240fb-9964-4c1a-a3c8-538ddc75bc75/ref.png', 'test': './data/private_set/af6240fb-9964-4c1a-a3c8-538ddc75bc75/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
9,6892e26f-6b02-4208-a3a1-ef58225269b9,contour_extraction,"Detect all the pattern using ref image and get the masks (pixel-level) of all the pattern. (If the objects is pattern, you can use image processing such as otsu to get the pattern. Otherwise, you can use object detection + segmentation model.)Get the mask which represent the overlap between pattern contour and the residual outlier. (No overlap is possible)Supply the end result as a PIL.Image.uint8 (Do not use list). (If the mask is bool please multiply 255. Give the final answer in float or int using result variable. The graylevel of pattern is larger than background. Please use image processing method (such as otsu) to get the binary mask.)","Detect all the pattern using ref image and get the masks (pixel-level) of all the pattern. (If the objects is pattern, you can use image processing such as otsu to get the pattern. Otherwise, you can use object detection + segmentation model.)Convert two image into gray. Get the residual between two image (based on test image). Get the residual > 20. Get the mask which represent the overlap between pattern contour and the residual outlier. (No overlap is possible)Supply the end result as a PIL.Image.uint8 (Do not use list). (If the mask is bool please multiply 255. Give the final answer in float or int using result variable. The graylevel of pattern is larger than background. Please use image processing method (such as otsu) to get the binary mask.)","{'ref': './data/private_set/6892e26f-6b02-4208-a3a1-ef58225269b9/ref.png', 'test': './data/private_set/6892e26f-6b02-4208-a3a1-ef58225269b9/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU
