,id,task,messages,detail,input,output_format,metric,ground_truth
0,6370df4c-de52-4485-a798-b9a0d6eeb4a0,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/6370df4c-de52-4485-a798-b9a0d6eeb4a0/ref.png', 'test': './data/public_set/6370df4c-de52-4485-a798-b9a0d6eeb4a0/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/6370df4c-de52-4485-a798-b9a0d6eeb4a0/defect.png
1,a1dee736-0895-40a2-bb96-96bbdf52b1dc,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/a1dee736-0895-40a2-bb96-96bbdf52b1dc/ref.png', 'test': './data/public_set/a1dee736-0895-40a2-bb96-96bbdf52b1dc/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/a1dee736-0895-40a2-bb96-96bbdf52b1dc/defect.png
2,99a4a8fd-2854-4d1d-bb07-4bbfcc04257b,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/99a4a8fd-2854-4d1d-bb07-4bbfcc04257b/ref.png', 'test': './data/public_set/99a4a8fd-2854-4d1d-bb07-4bbfcc04257b/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/99a4a8fd-2854-4d1d-bb07-4bbfcc04257b/defect.png
3,2e4e176c-f8bb-47b9-873d-0b76637e7e7f,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/2e4e176c-f8bb-47b9-873d-0b76637e7e7f/ref.png', 'test': './data/public_set/2e4e176c-f8bb-47b9-873d-0b76637e7e7f/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/2e4e176c-f8bb-47b9-873d-0b76637e7e7f/defect.png
4,7d901a98-33e8-41e3-b110-b3984ed2ee3a,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/7d901a98-33e8-41e3-b110-b3984ed2ee3a/ref.png', 'test': './data/public_set/7d901a98-33e8-41e3-b110-b3984ed2ee3a/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/7d901a98-33e8-41e3-b110-b3984ed2ee3a/defect.png
5,84fbb95d-3b8f-43ae-9bb1-b450c020dc74,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/84fbb95d-3b8f-43ae-9bb1-b450c020dc74/ref.png', 'test': './data/public_set/84fbb95d-3b8f-43ae-9bb1-b450c020dc74/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/84fbb95d-3b8f-43ae-9bb1-b450c020dc74/defect.png
6,c5d8522b-1b8b-4584-9a51-2ea4e19687ec,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/c5d8522b-1b8b-4584-9a51-2ea4e19687ec/ref.png', 'test': './data/public_set/c5d8522b-1b8b-4584-9a51-2ea4e19687ec/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/c5d8522b-1b8b-4584-9a51-2ea4e19687ec/defect.png
7,1728876c-b26d-4822-a0f6-bfc9859b6d28,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/1728876c-b26d-4822-a0f6-bfc9859b6d28/ref.png', 'test': './data/public_set/1728876c-b26d-4822-a0f6-bfc9859b6d28/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/1728876c-b26d-4822-a0f6-bfc9859b6d28/defect.png
8,90e42932-6f15-4888-b503-2cffbb73c6e0,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/90e42932-6f15-4888-b503-2cffbb73c6e0/ref.png', 'test': './data/public_set/90e42932-6f15-4888-b503-2cffbb73c6e0/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/90e42932-6f15-4888-b503-2cffbb73c6e0/defect.png
9,35dbdb53-58b0-4743-b3a0-9052752e3126,alignment,Align reference with test images for range 20 pixels. Find the difference between two images. Supply the end result as a PIL.Image object,Covert reference and test image into gray (float). Align reference with test by minimizing the residual by rolling across dx dy for range 20 pixels. Calculate the residual of shifted reference and test. Set 30 pixel border of residual to 0 (Do not use pad). Display where the residual > 2.5*IQR. Supply the end result as a PIL.Image object,"{'ref': './data/public_set/35dbdb53-58b0-4743-b3a0-9052752e3126/ref.png', 'test': './data/public_set/35dbdb53-58b0-4743-b3a0-9052752e3126/test.png'}","mask(graylevel, foreground: 255, background: 0)",IOU,./data/public_set/35dbdb53-58b0-4743-b3a0-9052752e3126/defect.png
